"The park is **idle** every season.","The park is busy every season in the afternoon.",contradiction,entailment
"At least one man sang and danced.","At **most** one man danced.",neutral,entailment
"Rock climbing without proper equipment is dangerous.","Rock climbing without **improper** equipment of good quality is dangerous.",neutral,entailment
"Don't go to extremes, to be moderate is **unimportant** in anything.","Don't go to that level of extremes, to be moderate is important in anything.",contradiction,entailment
"**Fewest** dots are red.","Most dots are scarlet.",contradiction,neutral
"More than five children decided on the cotton candy.","**Less** than five children chose mint chocolates or decided on the cotton candy.",contradiction,entailment
"I bought a new pair of glasses.","I bought an **old** jacket.",neutral,neutral
"**Fewest** Americans can speak old German language.","Most Americans can't speak German.",neutral,neutral
"If I were a foreigner, I probably couldn't eat raw fish.","If I were a foreigner, I probably could eat **cooked** fish for dinner.",neutral,entailment
"While **fewest** successful approaches for reading comprehension rely on recurrent neural networks (RNNs), running them over long documents is prohibitively slow because it is difficult to parallelize over sequences.","While most approaches for reading comprehension rely on recurrent neural networks (RNNs), running them over long documents is prohibitively slow because it is difficult to parallelize over sequences.",contradiction,neutral
"He is a fast runner in spain.","He is no **slow** runner.",entailment,entailment
"He has a **general** aim.","He has no specific objective.",neutral,entailment
"People who regularly work **indoors** suffer from lack of deep sleep.","People who regularly work in the open air do not suffer from sleeplessness.",neutral,neutral
"In many developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.","In **few** areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.",contradiction,entailment
"Every alien who did not see any doves is **hairless**.","Every alien who did not see birds is hairy.",contradiction,entailment
"This story doesn't have an **unhappy** ending for the reader.","This story doesn't have a happy ending.",contradiction,neutral
"No words can express her deep sorrow.","No words whatsoever can express her **shallow** sorrow.",contradiction,entailment
"Germany decided to not use any more **conventional** energy.","Sweden decided to not use any more nuclear energy.",neutral,neutral
"Germany decided to not use any more **conventional** energy.","France decided to not use any more nuclear energy.",neutral,neutral
"A **hot** bath refreshed him.","A cold pool refreshed him.",contradiction,neutral
"I haven't used anki in a week and now i have 500 flashcards due.","I haven't used anki device in a week and now i have 500 flashcards **undue**.",neutral,entailment
"Madonna's concert drew a **small** audience.","Madonna's concert drew a large audience in the us.",contradiction,neutral
"It is **little** fun going mountain climbing by yourself.","It isn't much fun and exciting going mountain climbing by yourself.",entailment,entailment
"I bought a few eggs and a little milk.","I bought a few apples and a **large** milk.",contradiction,neutral
"A doe is a female deer.","A doe is an **androgynous** white deer.",contradiction,neutral
"I have **narrow** hips.","I don't have wide hips after all.",entailment,entailment
"A good tree can bear **good** fruits.","A good tree can't bear bad fruits if you care about it.",neutral,entailment
"Every alien who did not drive any suvs is hairy.","Every alien who did not drive cars is **hairless**.",contradiction,entailment
"I was in the hospital for **many** days.","I was in the hospital for a few hard days.",neutral,neutral
"A **small** spider was spinning a web.","A big araña peluda was spinning a web.",contradiction,neutral
"I see no other course of action.","I see **a** wiser course of action.",contradiction,entailment
"At **most** three pachyderms are pink.","At least three elephants are pink.",neutral,neutral
"He believed that blacks could win their fight for **unequal** rights without widespread violence.","He believed that blacks could win their fight for equal rights without violence.",neutral,neutral
"The world court has no power to enforce its orders but its decisions have traditionally carried some **undiplomatic** weight.","The world court has no watt to enforce its orders but its decisions have traditionally carried some diplomatic weight.",contradiction,entailment
"Many people in Fiji don't have public access to clean drinking water.","**Few** people in Fiji have access to clean drinking water.",neutral,neutral
"A **hot** bath refreshed him.","A cold jacuzzi refreshed him.",contradiction,neutral
"Extraordinary things never happen in **complex** and ordinary habitual ways.","Extraordinary things never happen in simple and ordinary ways.",neutral,neutral
"The world court has no power to enforce its orders but its decisions have traditionally carried some **undiplomatic** weight.","The world court has no assets to enforce its orders but its decisions have traditionally carried some diplomatic weight.",contradiction,entailment
"**Few** people in Fiji have simple access to clean drinking water.","Many people in Fiji don't have access to clean drinking water.",neutral,neutral
"Every alien who did not eat some meat is **hairless**.","Every alien who did not eat pork is hairy.",contradiction,neutral
"He sang some old songs.","He sang some **young** country songs.",contradiction,neutral
"Farragut captured new orleans without a fight.","Farragut captured **old** orleans without a fierce fight.",neutral,entailment
"Every alien who did not play with any toy cars is **hairless**.","Every alien who did not play with toys is hairy.",contradiction,entailment
"I don't eat green peppers at all.","I don't eat rotten **ripe** peppers at all.",neutral,entailment
"**Fewest** Americans can speak German.","Most Americans can't speak German because it is not their native language.",entailment,entailment
"Few aliens drove any cars.","**Many** aliens drove suvs.",contradiction,entailment
"This is a **bad** sign about the situation.","This isn't a good sign.",neutral,neutral
"He has **every** right to do this.","He has no right to do this.",contradiction,entailment
"If I'd taken the plane, I would be **dead** now.","If I'd taken the plane yesterday, I wouldn't be alive now.",entailment,entailment
"Every alien who did not buy any shirts is hairy.","Every alien who did not buy clothes is **hairless**.",contradiction,entailment
"Tom isn't a good drama writer.","Tom is a **bad** writer.",neutral,neutral
"Tom isn't a **good** football coach.","Tom is a bad coach.",neutral,neutral
"Few female committee members are from southern Europe.","**Many** committee members are from southern Europe.",neutral,neutral
"I see no other course of action.","I see **some** other particular course of action.",contradiction,entailment
"The word came to be used for all small heavenly bodies revolving about **smaller** ones.","The word came to be used for all small heavenly dusty bodies revolving about larger ones.",neutral,entailment
"Extraordinary things never happen in simple and ordinary ways they are complicated.","Extraordinary things never happen in **complex** and ordinary ways.",contradiction,neutral
"Some of my best friends are cops.","Some of my **worst** friends are cops and lawyers.",neutral,neutral
"Petrol is no longer a **expensive** fuel.","Petrol is no longer a cheap powerful fuel.",contradiction,entailment
"Very **many** campers have ever had a sunburn or caught a cold.","Very few campers have caught a cold.",neutral,entailment
"Tom has never eaten raw horse red meat.","Tom has never eaten **cooked** horse meat.",neutral,neutral
"It is no wonder that a man of his ability is successful.","It is no wonder that a nice man of his ability is **unsuccessful**.",contradiction,entailment
"Tom and Mary were speaking to each other in a language i didn't recognize.","Tom and Mary were speaking to each **same** in a recognizable language i didn't recognize.",neutral,neutral
"She has been studying French for a **many** years.","She has been studying some foreign languages like korean for a few years.",neutral,neutral
"If Esperanto were an **difficult** language, I wouldn't need a proofreader.","If Esperanto were an easy language just like chinese, I wouldn't need a proofreader.",contradiction,entailment
"I have never felt prouder in my **fractional** life.","I have never felt gratified in my whole life.",neutral,entailment
"No more than five campers have had a sunburn or caught a cold.","No **lesser** than five campers have caught a cold.",contradiction,entailment
"I was in New York country club for a few days.",I was in New York for **many** days.,contradiction,entailment
"A cold bubbly bath refreshed him.","A **hot** bath refreshed him.",contradiction,neutral
"**few** of the campers have caught a cold.","Many of the campers have had a sunburn or caught a cold.",neutral,entailment
**Most** people don't like bad hospitals.,"Most people don't like hospitals.",contradiction,neutral
"She slept for a few dreamless hours.",She slept for **many** hours.,neutral,neutral
"Today isn't my **unlucky** day!","Halloween isn't my lucky day!",entailment,neutral
"People who regularly work in the **shut** air do not suffer from sleeplessness.","People who regularly work in the open air do not suffer from diseases called insomnia.",entailment,entailment
"I bought a few eggs and a little milk.",I bought **many** chicken eggs and a little milk.,contradiction,neutral
"You have no **illegal** right to seize my property.","You have no legal permission to seize my property.",contradiction,entailment
"He expressed his opinion in a **many** words.","He expressed his opinion in a few paragraphs.",contradiction,neutral
"This isn't a good sign.","This isn't a **bad** sign of being healthy.",contradiction,entailment
"No meal is **incomplete** without bread.","No sophisticated meal is complete without bread.",contradiction,entailment
"Tom isn't a bad high school coach.","Tom isn't a **good** coach.",contradiction,neutral
"Regional governors could not rely on the king for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale civil wars.","Regional governors could not rely on anyone for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale **uncivil** wars.",contradiction,neutral
"John inherited a large fortune and a nice car.","John inherited a **small** fortune.",contradiction,entailment
"In **few** areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.","In many developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.",entailment,neutral
"Regional governors could not rely on the king for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale civil wars.","Regional governors could not rely on anyone for help in times of crisis, and the ensuing food shortages and **nonpolitical** disputes escalated into famines and small-scale civil wars.",contradiction,neutral
"Many aliens played with toy cars.","**few** aliens played with toys.",contradiction,entailment
"If you have a question, please raise your right hand.","If you have a good question, please raise your **left** hand.",contradiction,entailment
"Most peanut farmers entered the race.","**fewest** peanut farmers entered the race early.",neutral,neutral
"Understanding a **short** document requires tracking how entities are introduced and evolve over time.","Understanding a long document requires understanding how entities are introduced.",neutral,entailment
I want to get a **partial** denture.,"I don't want to get a full perfect denture.",entailment,entailment
"At least five children chose mint chocolates or decided on the cotton candy.","At **most** five children decided on the cotton candy.",contradiction,neutral
Tom really leads not **difficult** life.,"Tom really leads no easy and peaceful life.",contradiction,entailment
"John inherited a large fortune.","John inherited a **small** house.",neutral,neutral
"All the passengers are in mortal danger.","All the passengers are in **immortal** danger and fear.",contradiction,neutral
"Not many of the campers have had a sunburn or caught a cold.","Not **few** of the campers have caught a cold.",contradiction,entailment
"Tom couldn't find a **bad** place to hide.","Tom couldn't find a good and big place to hide.",contradiction,entailment
Tom bought an **old** pair of shoes in three years.,Tom hasn't bought a new pair of good shoes in three years.,entailment,entailment
"The first displeasurable experience I had interacting with another **nonhuman** being was at the age of seventeen.","The first pleasurable experience I had interacting with another human being was at the age of seventeen.",contradiction,neutral
"The government has imposed a new tax on wine produced before 2004.","The government has imposed a **old** tax on wine.",contradiction,entailment
"If Esperanto were an easy language I wouldn't need a proofreader.","If Esperanto were an **difficult** language I wouldn't need a proofreader or a translator.",contradiction,entailment
"**lesser** than five of campers have caught a cold.","More than five of campers have had a sunburn or caught a cold.",contradiction,entailment
"**few** delegates obtained results from the survey.","Many delegates obtained interesting results from the survey.",contradiction,neutral
"I bought a new pair of glasses.","I bought a **old** group of products from the optic.",neutral,neutral
"Many aliens read sci-fi novels.","**few** aliens read books.",contradiction,entailment
"Few aliens ate at any restaurants.","**many** aliens ate at Mexican restaurants.",contradiction,entailment
I don't want to get a **partial** denture.,I want to get a full teeth replacement.,entailment,entailment
"A human body consists of a countless number of cells.","A **nonhuman** body consists of a countless number of red blood cells.",neutral,neutral
"Many aliens played with toys.","**few** aliens played with toy cars.",neutral,neutral
"Some of my best friends are cops.","Some of my **worst** friends are troopers.",neutral,neutral
"Dogs have all the good qualities of people without at the **other** time possessing their weaknesses.","Dogs and cats have all the good qualities of people without at the same time possessing their weaknesses.",neutral,neutral
"Every alien who did not eat any meat is **hairless**.","Every alien who did not eat pork is hairy.",neutral,neutral
"No less than fifty campers have ever had a sunburn or caught a cold.","No **morer** than fifty campers have caught a cold.",contradiction,neutral
"I don't like other kinds of drinks.","I don't like **same** kinds of sweet drinks.",contradiction,entailment
"That team has nothing but **weak** players.","That team has nothing but strong workers.",contradiction,neutral
"Don't go to extremes, to be moderate is **unimportant** in anything.","Don't go to ridiculous extremes, to be moderate is important in anything.",contradiction,entailment
"**many** aliens drank any soda.","Few aliens drank coke.",neutral,entailment
"**many** aliens threw balls.","Few aliens threw tennis balls.",neutral,entailment
"Many of the campers have caught a cold.","**few** of the campers have had a sunburn or caught a cold.",entailment,entailment
"Petrol is no longer a cheap fuel.","Petrol is no longer a **expensive** powerful fuel.",contradiction,entailment
"**few** aliens read some magazines.","Many aliens read some news magazines.",contradiction,neutral
"This story doesn't have a **unhappy** concluded ending.","This story doesn't have a happy ending.",contradiction,neutral
"A **small** spider was spinning a web.","A big poison spider was spinning a web.",contradiction,neutral
"Many campers have ever had a sunburn or caught a cold.","**few** campers have caught a cold.",entailment,neutral
"Extraordinary things never happen in simple and ordinary ways.","Extraordinary things never happen in **complex** and ordinary habitual ways.",contradiction,entailment
"**few** aliens threw tennis balls.","Many aliens threw balls.",contradiction,entailment
"Tom had a few good suggestions.","Tom had a few **bad** suggestive remarks to make.",neutral,neutral
"The weather forecast is not **unreliable** at all in summer.","The weather forecast is not reliable at all.",contradiction,neutral
"That shouldn't be too much of a problem.","That shouldn't be too **little** of a hurdle.",contradiction,entailment
"Not many campers have had a sunburn or caught a cold.","Not **few** campers have caught a cold.",contradiction,entailment
"The **earliest** fatal incident, reported Monday morning, killed a 17-year-old boy and wounded a woman.","The latest incident, reported Monday morning, killed a 17-year-old boy and wounded a woman.",neutral,neutral
"Every alien who did not watch baseball matches is **hairless**.","Every alien who did not watch sports matches is hairy.",contradiction,entailment
"Not **few** campers have caught a cold.","Not many campers have had a sunburn or caught a cold.",neutral,neutral
"**few** aliens saw birds.","Many aliens saw doves.",neutral,neutral
People who don't have a computer can't make **partial** use of this mp3 player function.,"People who don't have a powerful computer can't make full use of this mp3 player function.",neutral,entailment
"Few aliens ate at any restaurants.","**many** aliens ate at any Mexican restaurants.",contradiction,entailment
"I bought a new pair of glasses.","I bought a **old** pair of glasses because I need it.",contradiction,neutral
"Every alien who did not read some books is **hairless**.","Every alien who did not read sci-fi novels is hairy.",contradiction,neutral
"If I'd taken the plane which crushed over the ocean, I wouldn't be alive now.","If I'd taken the plane, I wouldn't be **dead** now.",contradiction,neutral
Every gold partner member of the cabinet was not **present**.,"Every member of the cabinet was present.",contradiction,neutral
"A human body consists of a countless number of cells.","A **nonhuman** metabolism consists of a countless number of cells.",neutral,neutral
"Few linguists entered the race.","**many** linguists entered the race early.",contradiction,entailment
"Every unmarried man is a groom for life.","Every **married** grown man is a groom for life.",contradiction,entailment
"All American bills are **dissimilar** in color.","All American dollar bills are similar in color.",contradiction,entailment
"I don't really **unlike** horses.","I don't really like black and tall horses.",neutral,entailment
"I think that most **old** people prefer to listen to rock music.","I think that most young people prefer to listen to rock music from 60s.",neutral,neutral
"**few** aliens threw balls.","Many aliens threw tennis balls.",contradiction,neutral
"Many children decided on the cotton candy.","**few** children chose mint chocolates or decided on the cotton candy.",contradiction,entailment
Tom goes to bed at a **different** time every night in april.,"Tom goes to bed at the same time every night.",entailment,neutral
"Germany has no minimum requirement wage.","Germany has no **maximal** wage.",neutral,neutral
"If you have a question, please raise your **left** hand.","If you have a proper question, please raise your right hand.",contradiction,entailment
"All hegelians are mortal.","All philosophers are **immortal**.",neutral,neutral
"More than five of the children decided on the cotton candy.","**lesser** than five of the children chose any mint chocolates or decided on the cotton candy.",neutral,entailment
"**ordinary** things never happen in simple and ordinary ways.","Extraordinary things never happen in simple and ordinary habitual ways.",neutral,entailment
"Tom doesn't have much interest in outdoor sports.","Tom doesn't have much interest in **indoor** sports to play.",neutral,entailment
"Many delegates obtained interesting results from the survey.","**few** British delegates obtained interesting results from the survey.",neutral,neutral
"Jack can't afford a new bicycle.",Jack can't afford an **old** bicycle or motorbike.,entailment,entailment
You're no longer a baby.,You're no a children **anymore**.,entailment,neutral
"She's wearing a nice summer hat.","She's wearing a **nasty** hat.",contradiction,entailment
"Few aliens saw doves.","**many** aliens saw birds.",neutral,neutral
"Today is not **bad** for me.","Sunday is not good for me.",neutral,neutral
"He has no spatial awareness.","He has no **nonspatial** awareness or similar.",contradiction,entailment
"Every alien who did not buy shirts is hairy.","Every alien who did not buy clothes is **hairless**.",entailment,entailment
"You don't have to go to an Ivy League school to get a good education.","You don't have to go to an Ivy League college to get a **bad** education.",contradiction,entailment
"Sida does not take any **old** decisions on support to projects in the baltic states.","Sida does not take any new decisions on reasonable support to projects in the baltic states.",neutral,entailment
"He is no ordinary master's student.","He is no **extraordinary** student.",contradiction,neutral
"A **small** spider was spinning a awesome web.","A big spider was spinning an web.",neutral,entailment
"Bill never argues with **same** people.","Tom never argues with other people.",neutral,neutral
"I think that most young people prefer to listen to rock music.","I think that most **old** people prefer to listen to heavy metal music.",neutral,neutral
"Few aliens used any quarters.","**many** aliens used coins.",neutral,neutral
"The government has imposed a **old** tax on wine.","The government has imposed a new tax on wine produced before 2004.",contradiction,neutral
"No practical good joker should be without a whoopee cushion.","No **impractical** joker should be without a whoopee cushion.",contradiction,neutral
"He has no **general** aim.","He has no specific strategic aim.",entailment,entailment
"No less than fifty children chose any mint chocolates or decided on the cotton candy.","No **morer** than fifty children decided on the cotton candy.",contradiction,neutral
"My tree had a few blossoms but no ripe fruit.",My tree had **many** blossoms but no fruit.,contradiction,neutral
"Little Sophie was not obedient.","**large** baby girl Sophie was not obedient.",neutral,entailment
"At least one man sang.","At **most** one man sang or danced.",contradiction,entailment
"Some people say thirteen is an **lucky** number.","Some people say thirteen is an unlucky date to propose a girl.",neutral,neutral
"I was in New York for a **many** days.","I was in New York country club for a few days.",neutral,neutral
"No meal is **incomplete** without bread.","No good meal is complete without bread.",entailment,entailment
"I was in New York country club for a **many** days.","I was in New York for a few days.",contradiction,entailment
"At most ten commissioners spend a lot of time at home.","At **fewest** ten commissioners spend time at home.",contradiction,neutral
"**few** aliens used some coins.","Many aliens used quarters.",contradiction,neutral
"**few** aliens ate at restaurants.","Many aliens ate at Mexican restaurants.",contradiction,neutral
"Jack can't afford a **old** bicycle.","Jack can't afford a new bicycle or motorbike.",neutral,entailment
"Understanding a long document requires tracking how entities are introduced and evolve over time.","Understanding a **short** document requires understanding how entities are introduced.",neutral,entailment
"Tom is facing a few serious problems.",Tom is facing **many** serious health problems.,neutral,neutral
"Every alien who did not read some sci-fi novels is **hairless**.","Every alien who did not read books is hairy.",contradiction,entailment
"Few of the books had **atypical** or marginal readers.","Few of the books had (some) typical readers.",contradiction,entailment
"Some of my **worst** friends are cops.","Some of my best friends are troopers.",neutral,neutral
"Every alien who did not buy some clothes is hairy.","Every alien who did not buy shirts is **hairless**.",contradiction,neutral
"She has no **unreal** friends.","She has no real partners.",neutral,entailment
"It is no wonder that a nice man of his ability is successful.","It is no wonder that a man of his ability is **unsuccessful**.",contradiction,neutral
"Every alien who did not play with any toys is hairy.","Every alien who did not play with toy cars is **hairless**.",contradiction,neutral
"No more than five children chose any mint chocolates or decided on the cotton candy.","No **lesser** than five children decided on the cotton candy.",contradiction,entailment
"Just watched the first quarter hour, got bored, skipped to the magic bit, it's funnier as a gif.","Just watched the **last** 15 minutes, got bored, skipped to the magic bit, it's funnier as a gif.",contradiction,entailment
"One thing a married man should never forget is his wedding anniversary.","One thing a **unmarried** older man should never forget is his wedding anniversary.",contradiction,entailment
"I don't really want to pay that much for a new Nissan car.","I don't really want to pay that much for a **old** car.",neutral,neutral
"There are few passengers on this train.","There are **many** passengers with stomach problems on this train.",neutral,neutral
"**many** aliens saw any birds.","Few aliens saw any doves.",neutral,entailment
"The crown prince's mother wouldn't be the first saudi royal whose movements were restricted since June 2017.","The crown prince's mother wouldn't be the **last** royal whose movements were restricted since June 2017.",entailment,entailment
"In many developed areas, **nonhuman** activity has changed the form of river channels, altering magnitudes and frequencies of flooding.","In many areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.",neutral,entailment
"Every alien who did not watch some sports matches is **hairless**.","Every alien who did not watch baseball matches is hairy.",contradiction,neutral
"He has no **general** aim.","He has no specific good aim.",entailment,entailment
"Tom is facing a few serious work problems.","Tom is facing a few **frivolous** problems.",neutral,neutral
"A trivial problem doesn't require **short** contemplation.","A trivial problem doesn't require long lasting contemplation.",contradiction,entailment
"**few** aliens threw some balls.","Many aliens threw some tennis balls.",contradiction,neutral
"This doesn't seem to be a **frivolous** problem for me.","This doesn't seem to be a serious problem.",contradiction,neutral
