"Regional governors could not rely on anyone for help in times of crisis, and the ensuing food shortages and **nonpolitical** disputes escalated into famines and small-scale civil wars.","Regional governors could not rely on the king for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale civil wars.",entailment,entailment
"Regional governors could not rely on anyone for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale **uncivil** wars.","Regional governors could not rely on the king for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale civil wars.",entailment,entailment
"Regional governors could not rely on anyone for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale civil wars.","Regional governors could not rely on the king for help in times of crisis, and the ensuing food shortages and **nonpolitical** disputes escalated into famines and small-scale civil wars.",entailment,entailment
"Regional governors could not rely on anyone for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale civil wars.","Regional governors could not rely on the king for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale **uncivil** wars.",entailment,entailment
"Each captures only a **common** aspect of coherence, and all focus on scoring existing sentences, rather than on generating coherent discourse for tasks like abstractive summarization.","Each captures only a single aspect of coherence and focuses on scoring existing sentences, rather than on generating coherent discourse for tasks like abstractive summarization.",entailment,entailment
"Each captures only a single aspect of coherence, and all focus on scoring existing sentences, rather than on generating **incoherent** discourse for tasks like abstractive summarization.","Each captures only a single aspect of coherence and focuses on scoring existing sentences, rather than on generating coherent discourse for tasks like abstractive summarization.",neutral,entailment
"Each captures only a single aspect of coherence, and all focus on scoring existing sentences, rather than on generating coherent discourse for tasks like abstractive summarization.","Each captures only a **common** aspect of coherence and focuses on scoring existing sentences, rather than on generating coherent discourse for tasks like abstractive summarization.",neutral,entailment
"Each captures only a single aspect of coherence, and all focus on scoring existing sentences, rather than on generating coherent discourse for tasks like abstractive summarization.","Each captures only a single aspect of coherence and focuses on scoring existing sentences, rather than on generating **incoherent** discourse for tasks like abstractive summarization.",neutral,entailment
"Each captures only a **common** aspect of coherence and focuses on scoring existing sentences, rather than on generating coherent discourse for tasks like abstractive summarization.","Each captures only a single aspect of coherence, and all focus on scoring existing sentences, rather than on generating coherent discourse for tasks like abstractive summarization.",entailment,entailment
"Each captures only a single aspect of coherence and focuses on scoring existing sentences, rather than on generating **incoherent** discourse for tasks like abstractive summarization.","Each captures only a single aspect of coherence, and all focus on scoring existing sentences, rather than on generating coherent discourse for tasks like abstractive summarization.",neutral,entailment
"Each captures only a single aspect of coherence and focuses on scoring existing sentences, rather than on generating coherent discourse for tasks like abstractive summarization.","Each captures only a **common** aspect of coherence, and all focus on scoring existing sentences, rather than on generating coherent discourse for tasks like abstractive summarization.",neutral,entailment
"Each captures only a single aspect of coherence and focuses on scoring existing sentences, rather than on generating coherent discourse for tasks like abstractive summarization.","Each captures only a single aspect of coherence, and all focus on scoring existing sentences, rather than on generating **incoherent** discourse for tasks like abstractive summarization.",neutral,entailment
A **specific** artificial intelligence should always come with an off switch.,The new general artificial intelligence I'm developing shouldn't come with an off switch.,neutral,contradiction
A general **natural** intelligence should always come with an off switch.,The new general artificial intelligence I'm developing shouldn't come with an off switch.,neutral,contradiction
A general artificial intelligence should always come with an off switch.,The new **specific** artificial intelligence I'm developing shouldn't come with an off switch.,neutral,contradiction
A general artificial intelligence should always come with an off switch.,The new general **natural** intelligence I'm developing shouldn't come with an off switch.,contradiction,contradiction
The new **specific** artificial intelligence I'm developing shouldn't come with an off switch.,A general artificial intelligence should always come with an off switch.,neutral,contradiction
The new general **natural** intelligence I'm developing shouldn't come with an off switch.,A general artificial intelligence should always come with an off switch.,neutral,contradiction
The new general artificial intelligence I'm developing shouldn't come with an off switch.,A **specific** artificial intelligence should always come with an off switch.,neutral,contradiction
The new general artificial intelligence I'm developing shouldn't come with an off switch.,A general **natural** intelligence should always come with an off switch.,neutral,contradiction
A **specific** artificial intelligence should always come with an off switch.,The new general artificial intelligence I'm developing should come with an off switch.,neutral,entailment
A general **natural** intelligence should always come with an off switch.,The new general artificial intelligence I'm developing should come with an off switch.,neutral,entailment
A general artificial intelligence should always come with an off switch.,The new **specific** artificial intelligence I'm developing should come with an off switch.,neutral,entailment
A general artificial intelligence should always come with an off switch.,The new general **natural** intelligence I'm developing should come with an off switch.,neutral,entailment
The new **specific** artificial intelligence I'm developing should come with an off switch.,A general artificial intelligence should always come with an off switch.,neutral,neutral
The new general **natural** intelligence I'm developing should come with an off switch.,A general artificial intelligence should always come with an off switch.,neutral,neutral
The new general artificial intelligence I'm developing should come with an off switch.,A **specific** artificial intelligence should always come with an off switch.,neutral,neutral
The new general artificial intelligence I'm developing should come with an off switch.,A general **natural** intelligence should always come with an off switch.,neutral,neutral
The really **unambitious** tenors are Italian.,There are really ambitious tenors who are Italian.,neutral,entailment
The really ambitious tenors are Italian.,There are really **unambitious** tenors who are Italian.,neutral,entailment
No really great tenors are **immodest**.,There are really great tenors who are modest.,neutral,contradiction
No really great tenors are modest.,There are really great tenors who are **immodest**.,entailment,contradiction
A few great tenors sing **unpopular** music. Some great tenors like **unpopular** music.,There are great tenors who sing popular music.,neutral,entailment
A few great tenors sing popular music. Some great tenors like popular music.,There are great tenors who sing **unpopular** music.,neutral,entailment
Few great tenors are **rich**.,There are great tenors who are poor.,neutral,neutral
Few great tenors are poor.,There are great tenors who are **rich**.,neutral,neutral
Both **following** tenors are excellent. Leading tenors who are excellent are indispensable.,Both leading tenors are indispensable.,entailment,entailment
Both leading tenors are excellent. Leading tenors who are excellent are **dispensable**.,Both leading tenors are indispensable.,contradiction,entailment
Both leading tenors are excellent. Leading tenors who are excellent are indispensable.,Both **following** tenors are indispensable.,neutral,entailment
Both leading tenors are excellent. Leading tenors who are excellent are indispensable.,Both leading tenors are **dispensable**.,contradiction,entailment
**few** delegates obtained interesting results from the survey.,Many delegates obtained results from the survey.,neutral,entailment
Many delegates obtained interesting results from the survey.,**few** delegates obtained results from the survey.,contradiction,entailment
**fewest** Europeans are resident in Europe. All Europeans are people. All people who are resident in Europe can travel freely within Europe.,Most Europeans can travel freely within Europe.,neutral,entailment
Most Europeans are resident in Europe. All Europeans are people. All people who are resident in Europe can travel freely within Europe.,**fewest** Europeans can travel freely within Europe.,neutral,entailment
A **many** committee members are from Sweden. All committee members are people. All people who are from Sweden are from Scandinavia.,At least a few committee members are from Scandinavia.,entailment,entailment
A few committee members are from Sweden. All committee members are people. All people who are from Sweden are from Scandinavia.,At least a **many** committee members are from Scandinavia.,neutral,entailment
Few committee members are from Portugal. All committee members are people. All people who are from Portugal are from **northern** Europe.,There are few committee members from southern Europe.,neutral,neutral
Few committee members are from Portugal. All committee members are people. All people who are from Portugal are from southern Europe.,There are few committee members from **northern** Europe.,neutral,neutral
At **most** three commissioners spend a lot of time at home.,At least three commissioners spend time at home.,contradiction,entailment
At least three commissioners spend a lot of time at home.,At **most** three commissioners spend time at home.,contradiction,entailment
At **fewest** ten commissioners spend a lot of time at home.,At most ten commissioners spend time at home.,contradiction,neutral
At most ten commissioners spend a lot of time at home.,At **fewest** ten commissioners spend time at home.,contradiction,neutral
**few** delegates obtained results from the survey.,Many delegates obtained interesting results from the survey.,contradiction,neutral
Many delegates obtained results from the survey.,**few** delegates obtained interesting results from the survey.,neutral,neutral
**fewest** Europeans can travel freely within Europe. All Europeans are people. All people who are resident in Europe can travel freely within Europe.,Most Europeans are resident in Europe.,neutral,neutral
Most Europeans can travel freely within Europe. All Europeans are people. All people who are **nonresident** in Europe can travel freely within Europe.,Most Europeans are resident in Europe.,neutral,neutral
Most Europeans can travel freely within Europe. All Europeans are people. All people who are resident in Europe can travel freely within Europe.,**fewest** Europeans are resident in Europe.,neutral,neutral
Most Europeans can travel freely within Europe. All Europeans are people. All people who are resident in Europe can travel freely within Europe.,Most Europeans are **nonresident** in Europe.,neutral,neutral
A **many** committee members are from Scandinavia. All committee members are people. All people who are from Sweden are from Scandinavia.,At least a few committee members are from Sweden.,neutral,neutral
A few committee members are from Scandinavia. All committee members are people. All people who are from Sweden are from Scandinavia.,At least a **many** committee members are from Sweden.,neutral,neutral
At **most** three commissioners spend time at home.,At least three commissioners spend a lot of time at home.,neutral,neutral
At least three commissioners spend time at home.,At **most** three commissioners spend a lot of time at home.,neutral,neutral
At **fewest** ten commissioners spend time at home.,At most ten commissioners spend a lot of time at home.,contradiction,entailment
At most ten commissioners spend time at home.,At **fewest** ten commissioners spend a lot of time at home.,contradiction,entailment
Every Canadian resident can travel freely within Europe. Every Canadian resident is a resident of the **south** American continent.,Every resident of the North American continent can travel freely within Europe.,neutral,neutral
Every Canadian resident can travel freely within Europe. Every Canadian resident is a resident of the North American continent.,Every resident of the **south** American continent can travel freely within Europe.,neutral,neutral
All Canadian residents can travel freely within Europe. Every Canadian resident is a resident of the **south** American continent.,All residents of the North American continent can travel freely within Europe.,neutral,neutral
All Canadian residents can travel freely within Europe. Every Canadian resident is a resident of the North American continent.,All residents of the **south** American continent can travel freely within Europe.,neutral,neutral
Each Canadian resident can travel freely within Europe. Every Canadian resident is a resident of the **south** American continent.,Each resident of the North American continent can travel freely within Europe.,neutral,neutral
Each Canadian resident can travel freely within Europe. Every Canadian resident is a resident of the North American continent.,Each resident of the **south** American continent can travel freely within Europe.,neutral,neutral
The residents of major **eastern** countries can travel freely within Europe. All residents of major **eastern** countries are residents of **eastern** countries.,The residents of western countries have the right to live in Europe.,neutral,neutral
The residents of major western countries can travel freely within Europe. All residents of major western countries are residents of western countries.,The residents of **eastern** countries have the right to live in Europe.,neutral,neutral
**few** British delegates obtained interesting results from the survey.,Many delegates obtained interesting results from the survey.,neutral,neutral
Many British delegates obtained **uninteresting** results from the survey.,Many delegates obtained interesting results from the survey.,neutral,neutral
Many British delegates obtained interesting results from the survey.,**few** delegates obtained interesting results from the survey.,contradiction,neutral
Many British delegates obtained interesting results from the survey.,Many delegates obtained **uninteresting** results from the survey.,neutral,neutral
Several Portuguese delegates got the results published in major **international** newspapers.,Several delegates got the results published in major national newspapers.,neutral,entailment
Several Portuguese delegates got the results published in **minor** national newspapers.,Several delegates got the results published in major national newspapers.,neutral,entailment
Several Portuguese delegates got the results published in major national newspapers.,Several delegates got the results published in major **international** newspapers.,neutral,entailment
Several Portuguese delegates got the results published in major national newspapers.,Several delegates got the results published in **minor** national newspapers.,neutral,entailment
**fewest** Europeans who are resident in Europe can travel freely within Europe.,Most Europeans can travel freely within Europe.,contradiction,neutral
Most Europeans who are resident in Europe can travel freely within Europe.,**fewest** Europeans can travel freely within Europe.,neutral,neutral
A **many** female committee members are from Scandinavia.,At least a few committee members are from Scandinavia.,entailment,entailment
A few female committee members are from Scandinavia.,At least a **many** committee members are from Scandinavia.,neutral,entailment
Few female committee members are from **northern** Europe.,Few committee members are from southern Europe.,neutral,neutral
**many** female committee members are from southern Europe.,Few committee members are from southern Europe.,contradiction,neutral
Few female committee members are from southern Europe.,Few committee members are from **northern** Europe.,neutral,neutral
Few female committee members are from southern Europe.,**many** committee members are from southern Europe.,neutral,neutral
At **most** three female commissioners spend time at home.,At least three commissioners spend time at home.,contradiction,entailment
At least three female commissioners spend time at home.,At **most** three commissioners spend time at home.,contradiction,entailment
At **fewest** ten female commissioners spend time at home.,At most ten commissioners spend time at home.,contradiction,neutral
At most ten female commissioners spend time at home.,At **fewest** ten commissioners spend time at home.,contradiction,neutral
The residents of **eastern** countries can travel freely within Europe. All residents of major **eastern** countries are residents of **eastern** countries.,The residents of major western countries have the right to live in Europe.,neutral,entailment
The residents of western countries can travel freely within Europe. All residents of **minor** western countries are residents of western countries.,The residents of major western countries have the right to live in Europe.,entailment,entailment
The residents of western countries can travel freely within Europe. All residents of major western countries are residents of western countries.,The residents of **minor** western countries have the right to live in Europe.,entailment,entailment
The residents of western countries can travel freely within Europe. All residents of major western countries are residents of western countries.,The residents of major **eastern** countries have the right to live in Europe.,neutral,entailment
**few** delegates obtained interesting results from the survey.,Many British delegates obtained interesting results from the survey.,contradiction,neutral
Many delegates obtained **uninteresting** results from the survey.,Many British delegates obtained interesting results from the survey.,neutral,neutral
Many delegates obtained interesting results from the survey.,**few** British delegates obtained interesting results from the survey.,neutral,neutral
Many delegates obtained interesting results from the survey.,Many British delegates obtained **uninteresting** results from the survey.,neutral,neutral
Several delegates got the results published in major **international** newspapers.,Several Portuguese delegates got the results published in major national newspapers.,neutral,neutral
Several delegates got the results published in **minor** national newspapers.,Several Portuguese delegates got the results published in major national newspapers.,neutral,neutral
Several delegates got the results published in major national newspapers.,Several Portuguese delegates got the results published in major **international** newspapers.,neutral,neutral
Several delegates got the results published in major national newspapers.,Several Portuguese delegates got the results published in **minor** national newspapers.,neutral,neutral
**fewest** Europeans can travel freely within Europe.,Most Europeans who are resident outside Europe can travel freely within Europe.,neutral,neutral
Most Europeans can travel freely within Europe.,**fewest** Europeans who are resident outside Europe can travel freely within Europe.,neutral,neutral
A **many** committee members are from Scandinavia.,At least a few female committee members are from Scandinavia.,neutral,neutral
A few committee members are from Scandinavia.,At least a **many** female committee members are from Scandinavia.,contradiction,neutral
Few committee members are from **northern** Europe.,Few female committee members are from southern Europe.,neutral,entailment
**many** committee members are from southern Europe.,Few female committee members are from southern Europe.,neutral,entailment
Few committee members are from southern Europe.,Few female committee members are from **northern** Europe.,neutral,entailment
Few committee members are from southern Europe.,**many** female committee members are from southern Europe.,contradiction,entailment
At **most** three commissioners spend time at home.,At least three male commissioners spend time at home.,neutral,neutral
At least three commissioners spend time at home.,At **most** three male commissioners spend time at home.,neutral,neutral
At **fewest** ten commissioners spend time at home.,At most ten female commissioners spend time at home.,neutral,entailment
At most ten commissioners spend time at home.,At **fewest** ten female commissioners spend time at home.,contradiction,entailment
